dataset,model,seed,degradation,severity,trust_signal,performance_signal,confidence_signal,rule_channel,rule,rule_label,deterioration_value,caution_threshold,do_not_trust_threshold,rule_signal,triggered,is_channel_driver,is_overall_driver,gap_direction,validation_split,validation_track_hash,track_overlap
GTSRB,GTSRBCNN,42,low_light,2,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.013935075217735626,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,2,trust,trust,trust,performance,relative_error_increase,relative error increase,0.10653753026634442,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,3,trust,trust,trust,confidence,ece_increase,ECE increase,0.013669749827773997,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,3,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,-0.0001583531274743019,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,3,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.013669749827773803,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,3,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.04069675376088677,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,3,trust,trust,trust,performance,relative_error_increase,relative error increase,0.31113801452784506,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,4,caution,caution,caution,confidence,ece_increase,ECE increase,0.037912377272677295,0.03,0.08,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,4,caution,caution,caution,confidence,fixed_hcer_increase,fixed HCER increase,0.0019794140934282986,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,4,caution,caution,caution,confidence,gap_deterioration,confidence gap deterioration,0.037910609468758696,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
