dataset,seed,degradation,severity,baseline_model,stronger_model,true_label,true_class_count,baseline_correct_count,stronger_correct_count,baseline_recall,stronger_recall,recall_delta_stronger_minus_baseline,higher_recall_model,baseline_share_of_all_correct,stronger_share_of_all_correct,baseline_correct_contribution_rank,stronger_correct_contribution_rank,baseline_predicted_count,stronger_predicted_count,baseline_prediction_share,stronger_prediction_share,baseline_prediction_rank,stronger_prediction_rank,validation_split,validation_track_hash,track_overlap
GTSRB,42,blur,1,GTSRBCNN,ResNet18,20,90,89,90,0.9888888888888889,1.0,0.011111111111111072,ResNet18,0.00824455766558592,0.007514402604992903,28,31,204,98,0.016152019002375298,0.007759303246239113,22,31,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,21,90,55,71,0.6111111111111112,0.7888888888888889,0.1777777777777777,ResNet18,0.005094951366373321,0.005928028721716623,34,37,81,71,0.006413301662707839,0.0056215360253365,35,39,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,22,120,101,106,0.8416666666666667,0.8833333333333333,0.04166666666666663,ResNet18,0.00935618341824919,0.008850296401436086,26,29,106,106,0.008392715756136183,0.008392715756136183,29,30,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,23,150,81,150,0.54,1.0,0.45999999999999996,ResNet18,0.007503473830477073,0.012524004341654838,31,23,93,162,0.007363420427553444,0.012826603325415678,31,23,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,24,90,47,80,0.5222222222222223,0.8888888888888888,0.3666666666666666,ResNet18,0.004353867531264474,0.006679468982215914,38,35,47,80,0.003721298495645289,0.006334125098970704,42,36,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,25,480,413,464,0.8604166666666667,0.9666666666666667,0.10624999999999996,ResNet18,0.03825845298749421,0.0387409200968523,10,9,578,480,0.045764053840063344,0.03800475059382423,9,10,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,26,180,177,168,0.9833333333333333,0.9333333333333333,-0.04999999999999993,GTSRBCNN,0.016396479851783233,0.014026884862653419,22,22,231,213,0.01828978622327791,0.0168646080760095,19,20,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,27,60,43,57,0.7166666666666667,0.95,0.23333333333333328,ResNet18,0.003983325613710051,0.004759121649828839,40,41,43,76,0.003404592240696754,0.006017418844022169,43,38,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,28,150,97,142,0.6466666666666666,0.9466666666666667,0.30000000000000004,ResNet18,0.008985641500694766,0.011856057443433246,27,25,118,149,0.00934283452098179,0.011797307996832937,27,25,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,29,90,83,90,0.9222222222222223,1.0,0.07777777777777772,ResNet18,0.007688744789254284,0.007514402604992903,30,32,121,95,0.009580364212193191,0.007521773555027712,26,32,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,30,150,46,105,0.30666666666666664,0.7,0.3933333333333333,ResNet18,0.004261232051875868,0.008766803039158387,39,30,83,111,0.006571654790182106,0.008788598574821853,34,29,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,31,270,198,261,0.7333333333333333,0.9666666666666667,0.2333333333333334,ResNet18,0.018341824918943955,0.021791767554479417,21,19,202,267,0.01599366587490103,0.021140142517814726,23,19,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,32,60,50,46,0.8333333333333334,0.7666666666666667,-0.06666666666666665,GTSRBCNN,0.004631773969430292,0.0038406946647741506,37,43,75,50,0.0059382422802850355,0.00395882818685669,36,43,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,33,210,202,205,0.9619047619047619,0.9761904761904762,0.014285714285714235,ResNet18,0.01871236683649838,0.01711613926692828,20,21,205,211,0.01623119556611243,0.016706254948535233,21,22,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,34,120,117,119,0.975,0.9916666666666667,0.01666666666666672,ResNet18,0.010838351088466883,0.009935710111046173,25,27,118,120,0.00934283452098179,0.009501187648456057,28,27,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
